Category,Part,Quantity,,,
Fixings,M5 Nut,6,,,
Fixings,M5 Washers,10,,,
Fixings,M3 x 10 CHS,10,,,
Fixings,M3 x 20 CHS,2,,,
Fixings,M3 Washer (optional),8,,,
Fixings,M3 Nut,10,,,
Fixings,M3 x 8 CHS,1,,,
Fixings,M5 x 30 BHS,6,,,
Fixings,M5 x 8 BHS,10,,,
Fixings,M5 T Slot nut for 2020,10,,,
Fixings,M3 T Slot nut for 2020,1,,,
Fixings,Wood Screw 15mm,4,,,
Mechanical,2040 V Slot Extrusion 400mm,1,,,
Mechanical,V Slot Wheels,6,,,
Mechanical,M5 Excentic Nut 7.1mm OD,2,,,
Mechanical,M5 Spacer,4,,,
Mechanical,6mm 2GT Belt approx 410mm,1,,,
Mechanical,3mm ID Idler 6mm smooth 2gt,2,,,
Mechanical,3mm ID Rubber Foot,1,,,
Printed,Front Carriage,1,,,
Printed,Rear Carriage,1,,,
Printed,Idler Plate M3,1,,,
Printed,2040 Foot,4,,,
Printed,Belt Clamp,2,,,
Printed,Soldering Iron Grip (ABS),1,,,
Printed,Arm,1,,,
Other,Base Plate,1,,,
Other ,NEMA 17 (broken),1,,,
Other,Soldering Iron,1,,,
Other,Heat Insert Tip,1,,,
,,,,,
,,,,,
